Name,TotalForce,COP X,COP Y,Velocity X,Velocity Y,time stamp
11111,-4.864188,372.5186,394.4826,-610.4309,-880.1636,2020/10/22 15:59:39
11111,-4.609893,382.6044,420.7372,504.2908,1312.727,2020/10/22 15:59:39
11111,-4.832989,378.2248,404.3705,-218.9804,-818.335,2020/10/22 15:59:39
11111,-4.873116,381.7607,394.1046,176.796,-513.2919,2020/10/22 15:59:39
11111,-4.777452,369.8278,404.662,-596.6461,527.8702,2020/10/22 15:59:39
11111,-4.826212,381.185,403.4878,567.8604,-58.71277,2020/10/22 15:59:39
11111,-4.901608,379.6884,392.3024,-74.82758,-559.2682,2020/10/22 15:59:39
11111,-4.815375,382.4619,400.6094,138.6703,415.3503,2020/10/22 15:59:39
11111,-4.872462,369.3779,402.0985,-654.1977,74.45526,2020/10/22 15:59:39
11111,-4.778864,373.3257,412.4716,197.3877,518.6569,2020/10/22 15:59:39
11111,-4.756247,382.3264,406.3862,450.0397,-304.2709,2020/10/22 15:59:39
11111,-4.669776,380.5011,414.4015,-91.2674,400.7629,2020/10/22 15:59:39
11111,-4.650455,392.1967,421.5193,584.7794,355.8929,2020/10/22 15:59:39
11111,-4.83624,370.3605,402.3127,-1091.811,-960.3317,2020/10/22 15:59:39
11111,-4.881616,370.7654,397.3996,20.24536,-245.6543,2020/10/22 15:59:39
11111,-4.593174,380.5862,421.304,491.0431,1195.221,2020/10/22 15:59:39
11111,-4.902513,372.3872,390.463,-409.9503,-1542.053,2020/10/22 15:59:39
11111,-4.823183,379.2707,403.0659,344.1711,630.1453,2020/10/22 15:59:39
11111,-4.805156,368.7245,407.2213,-527.3056,207.7713,2020/10/22 15:59:39
11111,-4.914392,369.4992,388.2343,38.73291,-949.3484,2020/10/22 15:59:39
11111,-4.79635,369.1728,409.1578,-16.31927,1046.172,2020/10/22 15:59:39
11111,-4.717189,377.8549,412.5499,434.1064,169.6075,2020/10/22 15:59:39
11111,-4.755693,385.8927,402.1113,401.886,-521.933,2020/10/22 15:59:39
11111,-4.804799,384.8815,406.3756,-50.56,213.2172,2020/10/22 15:59:39
11111,-4.729353,378.8608,410.0798,-301.0345,185.2112,2020/10/22 15:59:39
11111,-4.639807,377.7323,422.0342,-56.42242,597.7188,2020/10/22 15:59:39
11111,-4.659966,376.8553,419.4165,-43.85223,-130.8868,2020/10/22 15:59:39
11111,-4.79411,381.6642,406.7987,240.4449,-630.8884,2020/10/22 15:59:40
11111,-4.851586,376.7969,402.9336,-243.3655,-193.2541,2020/10/22 15:59:40
11111,-4.805643,378.9444,400.1152,107.3746,-140.9225,2020/10/22 15:59:40
11111,-4.795445,380.6797,406.672,86.76453,327.8427,2020/10/22 15:59:40
11111,-4.894977,377.275,401.8349,-170.2316,-241.8579,2020/10/22 15:59:40
11111,-5.069797,365.9239,383.8531,-567.5552,-899.086,2020/10/22 15:59:40
11111,-4.589248,388.5101,424.5519,1129.309,2034.94,2020/10/22 15:59:40
11111,-4.679271,376.3746,419.5095,-606.7764,-252.121,2020/10/22 15:59:40
11111,-4.682084,375.4507,411.937,-46.19141,-378.627,2020/10/22 15:59:40
11111,-4.87439,379.4038,396.6054,197.6547,-766.5787,2020/10/22 15:59:40
11111,-4.835153,382.7237,406.7679,165.9943,508.1253,2020/10/22 15:59:40
11111,-4.632838,387.3812,413.0721,232.8735,315.2084,2020/10/22 15:59:40
11111,-4.740647,381.1685,405.9374,-310.6369,-356.7337,2020/10/22 15:59:40
11111,-4.934465,375.4806,393.4635,-284.3933,-623.6938,2020/10/22 15:59:40
11111,-4.846196,376.2359,399.2812,37.76398,290.8829,2020/10/22 15:59:40
11111,-4.882184,372.4479,400.7682,-189.3997,74.34998,2020/10/22 15:59:40
11111,-4.809609,386.1667,407.4976,685.939,336.4685,2020/10/22 15:59:40
11111,-4.6022,390.9499,425.4262,239.1602,896.434,2020/10/22 15:59:40
11111,-4.834409,376.7635,395.5393,-709.3155,-1494.345,2020/10/22 15:59:40
11111,-4.649184,380.5356,411.7969,188.6032,812.8769,2020/10/22 15:59:40
11111,-4.649184,380.5356,411.7969,0,0,2020/10/22 15:59:40
11111,-4.649184,380.5356,411.7969,0,0,2020/10/22 15:59:40
11111,-4.795121,376.24,403.178,-214.7797,-430.9418,2020/10/22 15:59:40
11111,-4.779315,381.3569,406.1848,255.8456,150.3372,2020/10/22 15:59:40
11111,-4.77388,374.2856,412.1787,-353.569,299.6948,2020/10/22 15:59:40
11111,-4.74366,370.7732,404.5592,-175.618,-380.9738,2020/10/22 15:59:40
