Name,TotalForce,COP X,COP Y,Velocity X,Velocity Y,time stamp
Chengyi,-4.649782,771.2435,417.1305,-55.72815,434.7351,2020/10/22 16:04:33
Chengyi,-4.709088,785.7953,417.0511,727.5909,-3.970337,2020/10/22 16:04:33
Chengyi,-4.816527,766.1338,399.594,-983.075,-872.8561,2020/10/22 16:04:33
Chengyi,-4.746493,771.9913,414.8716,292.8772,763.8824,2020/10/22 16:04:33
Chengyi,-4.805814,767.2635,398.2734,-236.3892,-829.9103,2020/10/22 16:04:33
Chengyi,-4.862246,767.2817,398.8405,0.9063721,28.35388,2020/10/22 16:04:33
Chengyi,-4.770125,776.2397,414.4217,447.9034,779.0604,2020/10/22 16:04:33
Chengyi,-4.78596,781.0224,408.7157,239.1327,-285.2982,2020/10/22 16:04:33
Chengyi,-4.920177,769.1253,390.7935,-594.8547,-896.1136,2020/10/22 16:04:33
Chengyi,-4.796104,785.1317,406.4793,800.3204,784.2941,2020/10/22 16:04:33
Chengyi,-4.786372,760.9518,399.9821,-1208.997,-324.8627,2020/10/22 16:04:33
Chengyi,-4.745141,757.4547,410.5049,-174.8566,526.1429,2020/10/22 16:04:33
Chengyi,-4.813906,742.9999,399.9004,-722.7386,-530.2277,2020/10/22 16:04:33
Chengyi,-4.941716,747.4965,389.9659,224.8291,-496.7255,2020/10/22 16:04:33
Chengyi,-4.649177,765.4143,421.6855,895.8923,1585.983,2020/10/22 16:04:33
Chengyi,-4.652421,785.7956,417.6352,1019.064,-202.5192,2020/10/22 16:04:33
Chengyi,-4.731869,780.9969,420.4964,-239.9323,143.0634,2020/10/22 16:04:33
Chengyi,-4.794297,750.7883,405.9426,-1510.431,-727.6901,2020/10/22 16:04:34
Chengyi,-4.666728,774.571,417.4207,1189.136,573.9044,2020/10/22 16:04:34
Chengyi,-4.70179,801.0847,416.4429,1325.681,-48.88916,2020/10/22 16:04:34
Chengyi,-4.728143,774.3706,403.0023,-1335.703,-672.0306,2020/10/22 16:04:34
Chengyi,-4.720448,781.5072,408.5645,356.8298,278.1113,2020/10/22 16:04:34
